id,company,sector,industry,email,address,city,state,zip
51,Brainlounge,n/a,n/a,corpin1e@icio.us,35 Barnett Trail,Aurora,CO,80044
52,Jabbertype,n/a,n/a,ycole1f@facebook.com,859 Summer Ridge Alley,Topeka,KS,66642
53,Centidel,Finance,Major Banks,fsutherby1g@reuters.com,93 Melvin Park,San Francisco,CA,94164
54,JumpXS,Consumer Services,RETAIL: Building Materials,ljarville1h@zdnet.com,8 Pennsylvania Trail,Gaithersburg,MD,20883
55,Eimbee,Health Care,Major Pharmaceuticals,dmilbourne1i@g.co,38460 Dixon Way,Round Rock,TX,78682
56,Twitternation,Finance,Finance: Consumer Services,nchillingsworth1j@mysql.com,8 Donald Plaza,Lansing,MI,48956
57,Edgepulse,Health Care,Major Pharmaceuticals,cboniface1k@chicagotribune.com,9986 Atwood Terrace,Lincoln,NE,68524
58,Oyoba,Public Utilities,Water Supply,cmcmurrugh1l@dailymail.co.uk,717 Barnett Drive,Charlotte,NC,28225
59,Yodoo,Finance,Commercial Banks,aauthers1m@cafepress.com,1 Mcbride Center,New Orleans,LA,70129
60,Zoomdog,Consumer Services,Real Estate Investment Trusts,scolston1n@zdnet.com,0 Barnett Alley,Baltimore,MD,21229
61,Bubblemix,Consumer Services,Real Estate Investment Trusts,rarlt1o@seattletimes.com,5498 Steensland Point,Shawnee Mission,KS,66276
62,Dabfeed,Energy,Natural Gas Distribution,abader1p@dailymotion.com,1 Jackson Parkway,Oklahoma City,OK,73173
63,Camimbo,Consumer Services,Homebuilding,gkellaway1q@nifty.com,545 Anderson Street,Las Vegas,NV,89166
64,Flipbug,Public Utilities,Natural Gas Distribution,eleall1r@harvard.edu,7938 Hermina Park,Ocala,FL,34479
65,Avamm,Technology,Advertising,gpavyer1s@discuz.net,81 Ludington Way,Atlanta,GA,31119
66,Demizz,Basic Industries,Major Chemicals,adyas1t@infoseek.co.jp,60701 Shopko Pass,Washington,DC,20436
67,Skinix,Technology,Semiconductors,ilernihan1u@friendfeed.com,142 Towne Road,Fort Worth,TX,76105
68,Jaxworks,n/a,n/a,rkrook1v@gizmodo.com,5397 Holmberg Parkway,Bradenton,FL,34282
69,Zoovu,n/a,n/a,ddelgado1w@state.tx.us,76 Sycamore Lane,Saint Joseph,MO,64504
70,Thoughtmix,Technology,Computer peripheral equipment,nblaine1x@prweb.com,1790 Donald Hill,Boise,ID,83757
71,Thoughtstorm,Consumer Services,Services-Misc. Amusement & Recreation,mwilliams1y@e-recht24.de,65 Tony Plaza,Miami,FL,33129
72,Photobug,n/a,n/a,atomczak1z@bbb.org,20 Dakota Crossing,Shawnee Mission,KS,66220
73,Meetz,n/a,n/a,loda20@eventbrite.com,9 Service Place,Anchorage,AK,99512
74,Trilia,n/a,n/a,lhyland21@dot.gov,056 Tennyson Parkway,Dallas,TX,75358
75,Realblab,Finance,Major Banks,afranck22@wisc.edu,83331 Armistice Plaza,San Bernardino,CA,92415
76,Realbridge,n/a,n/a,cdemogeot23@amazon.co.jp,55 Swallow Lane,Chicago,IL,60619
77,Mycat,Health Care,Other Pharmaceuticals,whucke24@wikipedia.org,33 Summer Ridge Pass,Decatur,GA,30033
78,JumpXS,n/a,n/a,dphette25@foxnews.com,973 Ridgeway Pass,Columbus,OH,43268
79,Gigashots,Energy,Oil & Gas Production,gdymott26@state.gov,95 Meadow Valley Circle,Madison,WI,53779
80,Twitterlist,Consumer Non-Durables,Apparel,bmurfett27@smugmug.com,14202 Toban Pass,Silver Spring,MD,20910
81,Gigazoom,Consumer Services,Hotels/Resorts,oscoates28@cnet.com,21814 Waubesa Plaza,Oklahoma City,OK,73109
82,Edgeify,n/a,n/a,dcoolahan29@vistaprint.com,22 Anniversary Pass,Raleigh,NC,27635
83,Babbleset,Consumer Services,Farming/Seeds/Milling,bwake2a@cnn.com,0 Orin Plaza,Kansas City,MO,64114
84,Photojam,n/a,n/a,jbosward2b@china.com.cn,237 Farmco Street,Chicago,IL,60624
85,Meevee,n/a,n/a,sdohrmann2c@springer.com,4073 Judy Lane,Richmond,VA,23289
86,Jabbersphere,Energy,Integrated oil Companies,cleyland2d@privacy.gov.au,953 Reindahl Place,Hampton,VA,23663
87,Photospace,Consumer Services,Other Consumer Services,bbehling2e@pagesperso-orange.fr,8 Summer Ridge Avenue,Memphis,TN,38197
88,Photobug,Finance,Major Banks,mrosenwald2f@reuters.com,8 Village Place,Kansas City,MO,64187
89,Miboo,Technology,Semiconductors,ckirtley2g@ucoz.com,86234 Moland Point,Olympia,WA,98506
90,Brightbean,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),ncoaten2h@altervista.org,11712 Elgar Center,Portland,OR,97206
91,Vinder,Capital Goods,Auto Parts:O.E.M.,seastes2i@tinypic.com,78141 Emmet Point,Arlington,TX,76011
92,Kayveo,Health Care,Major Pharmaceuticals,htocher2j@gmpg.org,8 Debra Place,New Orleans,LA,70129
93,Bluezoom,Public Utilities,Telecommunications Equipment,ybrickhill2k@whitehouse.gov,19 Vidon Place,Pasadena,CA,91186
94,Aivee,Public Utilities,Telecommunications Equipment,wlidden2l@earthlink.net,19 Portage Parkway,Muncie,IN,47306
95,Fanoodle,Technology,Electrical Products,dkohen2m@a8.net,812 Northland Circle,Tulsa,OK,74156
96,Devify,Finance,Major Banks,apittman2n@i2i.jp,0 Stoughton Street,Schenectady,NY,12325
97,Photospace,Consumer Services,Services-Misc. Amusement & Recreation,tgibbin2o@dion.ne.jp,314 Kim Junction,Seattle,WA,98166
98,Oloo,n/a,n/a,dhaugeh2p@census.gov,85511 Vahlen Avenue,Richmond,VA,23237
99,Linktype,Technology,EDP Services,jlackner2q@gmpg.org,6721 Kenwood Lane,Pittsburgh,PA,15279
100,Realbuzz,Finance,Major Banks,wwooler2r@europa.eu,94901 Debra Circle,Fort Lauderdale,FL,33345
101,Jaxbean,Finance,Major Banks,mhurd2s@gmpg.org,6 Longview Pass,Topeka,KS,66642
102,Avaveo,Finance,Property-Casualty Insurers,jendon2t@toplist.cz,28724 Prairie Rose Way,San Antonio,TX,78215
103,Skiptube,Health Care,Major Pharmaceuticals,pmeighan2u@cocolog-nifty.com,75633 Transport Trail,Muskegon,MI,49444
104,Divape,n/a,n/a,tdowns2v@go.com,9566 Ridgeview Street,Fresno,CA,93726
105,Skiptube,Finance,Finance: Consumer Services,gmacteggart2w@upenn.edu,95814 Jenna Point,Fort Worth,TX,76192
106,Innotype,Finance,Major Banks,kspurden2x@comcast.net,918 Larry Crossing,Farmington,MI,48335
107,Flashset,Health Care,Medical Specialities,mstummeyer2y@npr.org,236 Weeping Birch Parkway,Dallas,TX,75216
108,Feedspan,Consumer Non-Durables,Electronic Components,mmacgowan2z@unicef.org,4964 Muir Lane,New York City,NY,10165
109,Camido,Finance,Investment Bankers/Brokers/Service,mstackbridge30@dell.com,45183 Surrey Road,Fresno,CA,93762
110,Skynoodle,Finance,Property-Casualty Insurers,mnoel31@answers.com,91 Sage Park,Madison,WI,53779
111,Devcast,Consumer Services,Hotels/Resorts,pabelevitz32@seesaa.net,8700 Roxbury Street,Morgantown,WV,26505
112,Dablist,n/a,n/a,kcushion33@statcounter.com,09 Waubesa Hill,Tampa,FL,33633
113,Oba,Consumer Services,Advertising,cpotten34@hhs.gov,56 Cherokee Pass,Newark,DE,19714
114,Demivee,Consumer Services,Real Estate Investment Trusts,gmorrallee35@vk.com,9814 Lawn Trail,Omaha,NE,68197
115,Trilia,Public Utilities,Electric Utilities: Central,wchisnall36@lycos.com,60675 Bultman Point,Alexandria,LA,71307
116,Twinte,n/a,n/a,scringle37@4shared.com,33 Brentwood Center,Harrisburg,PA,17140
117,Kwimbee,Health Care,Major Pharmaceuticals,mwardingley38@bloomberg.com,26793 Crowley Center,Phoenix,AZ,85040
118,Gigashots,Technology,Computer Software: Prepackaged Software,mbauser39@state.tx.us,30451 Maryland Court,Fort Worth,TX,76115
119,Ooba,Technology,Computer Manufacturing,klearmond3a@fotki.com,58730 Ohio Terrace,Lexington,KY,40515
120,BlogXS,n/a,n/a,horridge3b@1688.com,68604 Barnett Pass,Denver,CO,80228
121,Zoonoodle,Health Care,Major Pharmaceuticals,vgarraway3c@sina.com.cn,1709 Waxwing Park,Los Angeles,CA,90094
122,Skinder,Health Care,Major Pharmaceuticals,cstuttard3d@businesswire.com,7 Chive Drive,Schenectady,NY,12305
123,Realcube,Consumer Non-Durables,Beverages (Production/Distribution),lkimm3e@ft.com,3265 Westport Circle,Kansas City,MO,64136
124,Mudo,n/a,n/a,edalgarnocht3f@yellowpages.com,338 Buhler Street,Milwaukee,WI,53285
125,Fiveclub,Consumer Non-Durables,Apparel,vkagan3g@hugedomains.com,0 Artisan Place,Clearwater,FL,34615
126,Quinu,Consumer Services,Other Consumer Services,gcharte3h@cargocollective.com,9863 Valley Edge Circle,Baltimore,MD,21281
127,Lazz,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),deddicott3i@kickstarter.com,313 Schiller Center,Boise,ID,83732
128,Zoombox,Energy,Oil Refining/Marketing,bhowlett3j@hhs.gov,43 Autumn Leaf Drive,Philadelphia,PA,19146
129,Edgetag,n/a,n/a,hwinship3k@rediff.com,32 Pennsylvania Point,Las Vegas,NV,89155
130,Gabvine,Health Care,Medical/Dental Instruments,iburgwyn3l@umn.edu,8557 Myrtle Trail,New York City,NY,10029
131,Midel,Finance,Investment Managers,cdrennan3m@artisteer.com,0 Warner Point,Topeka,KS,66617
132,Flashspan,Finance,Savings Institutions,psealand3n@java.com,7 West Crossing,Trenton,NJ,08650
133,Yata,Technology,Radio And Television Broadcasting And Communications Equipment,styas3o@360.cn,12945 Prairie Rose Circle,Amarillo,TX,79159
134,Zava,Capital Goods,Industrial Specialties,tborges3p@mapy.cz,5 Magdeline Plaza,Wilmington,DE,19886
135,Brainlounge,Capital Goods,Electrical Products,jcarnson3q@rambler.ru,9 Pierstorff Lane,Denton,TX,76205
136,Eabox,Energy,Coal Mining,eway3r@shinystat.com,9002 Northwestern Center,Hartford,CT,06160
137,Wikibox,Public Utilities,Natural Gas Distribution,pkighly3s@nifty.com,50 Lakeland Street,Houston,TX,77055
138,Chatterbridge,Capital Goods,Auto Manufacturing,amcguffie3t@is.gd,93 Northland Road,Portland,ME,04109
139,Dabtype,Finance,Major Banks,swrettum3u@nba.com,270 Muir Terrace,Lake Charles,LA,70607
140,Youfeed,n/a,n/a,tblanc3v@intel.com,4 Nelson Trail,Garden Grove,CA,92844
141,Skiptube,Transportation,Marine Transportation,fgradwell3w@qq.com,8222 Moulton Point,Milwaukee,WI,53215
142,Twitterbeat,Energy,Oil & Gas Production,jlightewood3x@intel.com,665 Gerald Center,San Antonio,TX,78220
143,Thoughtblab,n/a,n/a,htonna3y@wikimedia.org,23 Algoma Road,Clearwater,FL,33758
144,Centizu,Technology,EDP Services,scamplejohn3z@unc.edu,72789 Arapahoe Pass,Phoenix,AZ,85035
145,Wordify,Finance,Business Services,ygrindlay40@myspace.com,471 Oneill Hill,Albany,NY,12237
146,Topicware,Technology,EDP Services,vvanichkov41@google.cn,0 Sundown Parkway,Erie,PA,16505
147,Voonder,Consumer Non-Durables,Packaged Foods,akenton42@usa.gov,76 Kinsman Alley,Portland,OR,97240
148,Meedoo,Public Utilities,Telecommunications Equipment,kciani43@theguardian.com,5 Kropf Way,Arvada,CO,80005
149,Yakidoo,n/a,n/a,lrichardon44@wikimedia.org,0 Saint Paul Court,Raleigh,NC,27635
150,Blogspan,Finance,Business Services,rgaine45@slashdot.org,6 Corben Parkway,Washington,DC,20456
151,Twitterwire,n/a,n/a,wkeppe46@google.com.au,4 International Avenue,Shreveport,LA,71137
152,Zoovu,Finance,Property-Casualty Insurers,mpennino47@skype.com,13 Gerald Center,Lees Summit,MO,64082
153,Kazu,Basic Industries,Agricultural Chemicals,lguesford48@google.it,31633 Village Green Circle,Washington,DC,20397
154,Eire,Consumer Services,Real Estate Investment Trusts,gmacdonell49@webnode.com,6 Ridgeview Avenue,Boca Raton,FL,33487
155,Edgeify,n/a,n/a,lteare4a@nature.com,9 Victoria Terrace,Toledo,OH,43656
156,Omba,Energy,Coal Mining,mjeandin4b@nih.gov,4 Kinsman Plaza,Austin,TX,78749
157,Zava,Consumer Non-Durables,Plastic Products,aharfleet4c@cnn.com,5 Ryan Trail,Beaumont,TX,77713
158,Dynabox,Health Care,Major Pharmaceuticals,rdavisson4d@webmd.com,0 American Ash Way,Philadelphia,PA,19109
159,Wikivu,Finance,Major Banks,agarnam4e@whitehouse.gov,6 Erie Pass,Atlanta,GA,30328
160,Babblestorm,Capital Goods,Steel/Iron Ore,ccardis4f@tuttocitta.it,1930 Forest Plaza,Meridian,MS,39305
161,Zoonoodle,Consumer Services,Clothing/Shoe/Accessory Stores,jtreherne4g@weebly.com,320 Golf Course Avenue,Portland,OR,97286
162,Twitternation,n/a,n/a,abicksteth4h@discovery.com,316 Sachtjen Crossing,Washington,DC,20220
163,Feedbug,n/a,n/a,csemeradova4i@irs.gov,3256 Bobwhite Point,Boise,ID,83732
164,Miboo,Capital Goods,Fluid Controls,esantus4j@163.com,9 Summer Ridge Lane,Sacramento,CA,94237
165,Fiveclub,Consumer Durables,Automotive Aftermarket,skyncl4k@google.it,68453 Algoma Pass,Sacramento,CA,94263
166,Skajo,n/a,n/a,afrancklyn4l@irs.gov,7264 Paget Terrace,Dulles,VA,20189
167,Photobean,n/a,n/a,nmosley4m@tripod.com,2432 Grim Plaza,Springfield,IL,62764
168,Leenti,Consumer Services,Television Services,ndoone4n@go.com,471 Northwestern Way,Cincinnati,OH,45208
169,Zoomlounge,n/a,n/a,gcapenor4o@gizmodo.com,2951 Butterfield Circle,Pomona,CA,91797
170,Topicshots,n/a,n/a,crings4p@spotify.com,653 John Wall Parkway,El Paso,TX,79940
171,Geba,Consumer Durables,Automotive Aftermarket,cazemar4q@hhs.gov,3 Riverside Center,Tulsa,OK,74141
172,Brainsphere,Health Care,Medical/Dental Instruments,sassur4r@bloglovin.com,5881 Ruskin Circle,Portland,OR,97206
173,Jabberstorm,Consumer Non-Durables,Beverages (Production/Distribution),apickthall4s@wordpress.com,454 High Crossing Court,Raleigh,NC,27626
174,Nlounge,Health Care,Medical/Dental Instruments,cmullaly4t@cbslocal.com,671 Melvin Hill,Saint Cloud,MN,56398
175,Mita,Health Care,Major Pharmaceuticals,tburlingham4u@imdb.com,136 Boyd Lane,Miami Beach,FL,33141
176,Jaxbean,Technology,Industrial Machinery/Components,vannis4v@discuz.net,707 Huxley Alley,Omaha,NE,68164
177,Cogibox,Health Care,Major Pharmaceuticals,etong4w@ftc.gov,18458 Ridgeview Avenue,Memphis,TN,38119
178,Voonyx,Health Care,Major Pharmaceuticals,lhardbattle4x@bluehost.com,42 Superior Plaza,Montgomery,AL,36114
179,Realmix,Capital Goods,Industrial Machinery/Components,randerson4y@nbcnews.com,714 Hoffman Street,West Palm Beach,FL,33421
180,Tagcat,Consumer Services,Real Estate Investment Trusts,iuccello4z@harvard.edu,630 Dunning Junction,Brockton,MA,02305
181,Eare,Public Utilities,Telecommunications Equipment,ehoyer50@bizjournals.com,9343 Bluestem Avenue,Jefferson City,MO,65105
182,Roombo,Consumer Non-Durables,Beverages (Production/Distribution),jliptrot51@berkeley.edu,114 Fallview Point,Washington,DC,20005
183,Bubblebox,Finance,Major Banks,kklageman52@about.me,6298 Maryland Center,Erie,PA,16510
184,Livefish,Finance,Major Banks,cmacrory53@ning.com,137 Harbort Way,Orlando,FL,32885
185,Pixope,n/a,n/a,dnetley54@mapquest.com,11 Harper Crossing,Tulsa,OK,74193
186,Yata,n/a,n/a,mcaldecott55@istockphoto.com,3 Dixon Alley,Anderson,SC,29625
187,Jaloo,Miscellaneous,Business Services,lmessent56@blogs.com,094 Derek Road,Stamford,CT,06912
188,Topicblab,n/a,n/a,ctommei57@hc360.com,965 Columbus Park,Cincinnati,OH,45264
189,Thoughtbridge,Finance,Property-Casualty Insurers,lplane58@state.tx.us,8891 Spaight Avenue,Saint Paul,MN,55166
190,Youtags,Energy,Oil & Gas Production,tmoscon59@miibeian.gov.cn,62 Roth Park,Detroit,MI,48206
191,Pixope,Transportation,Marine Transportation,anund5a@slideshare.net,4 Hollow Ridge Court,Vero Beach,FL,32964
192,Mudo,Energy,Coal Mining,lpogue5b@walmart.com,12168 Pond Crossing,Vancouver,WA,98664
193,Mymm,n/a,n/a,vfair5c@deviantart.com,3844 Clarendon Court,Austin,TX,78759
194,Meemm,Consumer Services,Real Estate Investment Trusts,jrobinson5d@zimbio.com,99 Vidon Pass,Atlanta,GA,31136
195,Twitterbridge,n/a,n/a,iscolli5e@vimeo.com,1 Little Fleur Lane,Tacoma,WA,98411
196,Tanoodle,Miscellaneous,Business Services,bbartlett5f@miibeian.gov.cn,6 Forest Run Drive,Cleveland,OH,44177
197,Rhynyx,Health Care,Major Pharmaceuticals,rllopis5g@networkadvertising.org,89 Judy Parkway,Tacoma,WA,98411
198,Vinte,Finance,Major Banks,hslatter5h@youtube.com,297 Sunfield Crossing,Newark,DE,19714
199,Katz,Finance,Major Banks,ahindenburg5i@boston.com,92 Dakota Parkway,Washington,DC,20425
200,Kwinu,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nrenak5j@tripadvisor.com,80 Valley Edge Park,Los Angeles,CA,90055
201,Thoughtstorm,Consumer Services,Real Estate Investment Trusts,cjahan5k@reddit.com,13 Lotheville Trail,Albuquerque,NM,87201
202,Trilith,Health Care,Major Pharmaceuticals,anabbs5l@wired.com,3 Stang Drive,Honolulu,HI,96825
203,Feedmix,Technology,"Computer Software: Programming, Data Processing",mwilsdon5m@discuz.net,30 Warbler Trail,Albany,GA,31704
204,Zooxo,Finance,Major Banks,eschusterl5n@ebay.com,8821 Gina Junction,Rochester,NY,14683
205,Eadel,Public Utilities,Power Generation,ssergeaunt5o@usatoday.com,9470 Northwestern Plaza,Dallas,TX,75392
206,Eire,Finance,Major Banks,ddoxsey5p@blogspot.com,51337 Dennis Avenue,Fort Lauderdale,FL,33355
207,Eimbee,Health Care,Major Pharmaceuticals,icours5q@blogger.com,3700 Di Loreto Crossing,Des Moines,IA,50305
208,Realcube,n/a,n/a,msyalvester5r@cyberchimps.com,992 New Castle Circle,Mobile,AL,36641
209,Jaxworks,n/a,n/a,eprickett5s@eepurl.com,91 Butternut Court,Roanoke,VA,24024
210,Edgeblab,n/a,n/a,couterbridge5t@symantec.com,001 Blue Bill Park Alley,Nashville,TN,37205
211,Babblestorm,n/a,n/a,lbrissard5u@guardian.co.uk,536 Carioca Crossing,Chicago,IL,60614
212,Quatz,n/a,n/a,mgloy5v@sourceforge.net,7165 Sullivan Park,Hartford,CT,06105
213,Eabox,Consumer Non-Durables,Consumer Electronics/Appliances,calesi5w@virginia.edu,023 Anzinger Place,Pittsburgh,PA,15274
214,Oyoloo,n/a,n/a,gmishow5x@oracle.com,5865 Gina Way,Tyler,TX,75799
215,Quimba,Consumer Services,Home Furnishings,tockenden5y@hubpages.com,30 Glendale Circle,Long Beach,CA,90847
216,Chatterbridge,n/a,n/a,cchaulk5z@hostgator.com,77751 Northwestern Avenue,Inglewood,CA,90398
217,Riffpath,Consumer Durables,Home Furnishings,dgradley60@yandex.ru,43017 Old Shore Parkway,New York City,NY,10125
218,Meevee,n/a,n/a,bsellan61@php.net,08 Nelson Junction,Oklahoma City,OK,73197
219,Zooveo,Technology,Computer Software: Prepackaged Software,fcotman62@nymag.com,07585 Ridgeview Road,Hartford,CT,06160
220,Skibox,Finance,Business Services,ccrinage63@washingtonpost.com,78202 Hansons Alley,Fort Worth,TX,76178
221,Twimbo,Consumer Services,Other Specialty Stores,hwindous64@disqus.com,3 8th Point,Harrisburg,PA,17105
222,Dazzlesphere,n/a,n/a,abernardotti65@bing.com,50143 Goodland Way,Roanoke,VA,24020
223,Avamm,Consumer Durables,Specialty Chemicals,aburgwyn66@sciencedirect.com,8270 Hollow Ridge Court,Houston,TX,77250
224,Mudo,Technology,Computer Software: Prepackaged Software,csayce67@wikimedia.org,53 Old Shore Avenue,Springfield,MO,65810
225,Yadel,Finance,Property-Casualty Insurers,hambrogioni68@cam.ac.uk,3 Green Ridge Park,Seattle,WA,98109
226,Livefish,Health Care,Medical/Dental Instruments,mfreed69@sitemeter.com,6 Dwight Parkway,Dallas,TX,75210
227,Ooba,n/a,n/a,hberthomier6a@usgs.gov,4116 Di Loreto Park,Dayton,OH,45426
228,Eare,Energy,Metal Fabrications,dmatteo6b@1und1.de,48 Gateway Junction,Cincinnati,OH,45999
229,Yamia,Basic Industries,Paper,galtham6c@amazonaws.com,34 Iowa Park,El Paso,TX,88519
230,Meejo,n/a,n/a,hstaresmeare6d@live.com,07 Autumn Leaf Circle,Columbus,OH,43240
231,Eamia,Consumer Non-Durables,Packaged Foods,tdedei6e@xinhuanet.com,33 Gulseth Drive,Phoenix,AZ,85053
232,Zoovu,Consumer Services,Real Estate Investment Trusts,cvel6f@state.gov,15 Grover Hill,Pasadena,CA,91103
233,Riffpedia,Consumer Durables,Containers/Packaging,msmolan6g@fc2.com,9 Mosinee Road,Anchorage,AK,99512
234,Yakitri,n/a,n/a,dkilgannon6h@sohu.com,59859 Bay Lane,Tampa,FL,33633
235,Aibox,Finance,Property-Casualty Insurers,gmacmickan6i@ask.com,83280 Tennessee Park,Springfield,IL,62756
236,Oyoyo,n/a,n/a,eoret6j@java.com,29708 Golf Street,Des Moines,IA,50335
237,Cogibox,Public Utilities,Electric Utilities: Central,ldoward6k@jalbum.net,1487 Rutledge Lane,Huntsville,AL,35815
238,Realbridge,Consumer Durables,Telecommunications Equipment,apordall6l@scientificamerican.com,66748 Golf Course Alley,North Little Rock,AR,72199
239,Mydeo,Finance,Investment Bankers/Brokers/Service,dmatschke6m@1und1.de,3865 Boyd Plaza,Detroit,MI,48242
240,Muxo,n/a,n/a,aclarkson6n@yale.edu,707 Sheridan Avenue,Flint,MI,48505
241,Skimia,Technology,Semiconductors,fromanski6o@delicious.com,4387 Hooker Avenue,Seattle,WA,98104
