contract_id,customer_id,contract_start,contract_term,deposit,monthly_amt
40,141,5/19/2019,4,"$23,000.00","$21,800.00"
41,1,5/31/2019,24,"$86,000.00","$11,200.00"
42,8,1/8/2019,7,"$28,000.00","$24,000.00"
43,172,12/21/2019,24,"$45,000.00","$19,700.00"
44,139,9/24/2019,17,"$68,000.00","$17,600.00"
45,64,1/16/2019,8,"$80,000.00","$10,800.00"
46,41,4/17/2019,4,"$96,000.00","$21,100.00"
47,200,2/10/2019,12,"$11,000.00","$18,700.00"
48,131,2/12/2019,24,"$73,000.00","$10,900.00"
49,130,12/1/2019,16,"$65,000.00","$6,600.00"
50,98,11/13/2019,2,"$84,000.00","$20,800.00"
51,160,3/18/2019,20,"$11,000.00","$6,900.00"
52,87,1/7/2019,16,"$80,000.00","$9,600.00"
53,17,5/4/2019,10,"$44,000.00","$16,500.00"
54,16,5/1/2019,14,"$94,000.00","$14,200.00"
55,58,1/12/2019,17,"$48,000.00","$17,100.00"
56,144,7/16/2019,15,"$31,000.00","$18,700.00"
57,87,7/29/2019,19,"$79,000.00","$23,900.00"
58,197,11/20/2019,16,"$93,000.00","$12,800.00"
59,49,12/13/2019,7,"$97,000.00","$15,800.00"
60,20,1/1/2019,11,"$45,000.00","$11,900.00"
61,35,12/6/2019,11,"$72,000.00","$15,900.00"
62,165,10/2/2019,8,"$55,000.00","$12,500.00"
63,91,8/31/2019,7,"$81,000.00","$8,800.00"
64,72,3/23/2019,16,"$38,000.00","$10,000.00"
65,76,1/15/2019,2,"$28,000.00","$13,200.00"
66,17,1/5/2019,21,"$71,000.00","$12,200.00"
67,193,10/25/2019,18,"$85,000.00","$13,000.00"
68,47,3/13/2019,13,"$47,000.00","$16,800.00"
69,26,4/20/2019,9,"$40,000.00","$24,400.00"
70,48,7/7/2019,12,"$35,000.00","$5,700.00"
71,67,2/23/2019,17,"$75,000.00","$12,800.00"
72,58,3/8/2019,16,"$52,000.00","$16,500.00"
73,51,3/15/2019,3,"$35,000.00","$6,900.00"
74,171,11/12/2019,5,"$58,000.00","$24,600.00"
75,58,6/7/2019,22,"$71,000.00","$20,800.00"
76,51,7/18/2019,6,"$24,000.00","$18,300.00"
77,112,9/19/2019,12,"$76,000.00","$10,600.00"
78,82,9/12/2019,10,"$10,000.00","$21,800.00"
79,128,5/11/2019,23,"$42,000.00","$8,800.00"
80,186,3/11/2019,15,"$63,000.00","$22,100.00"
81,90,7/28/2019,18,"$48,000.00","$22,900.00"
82,143,4/1/2019,4,"$92,000.00","$5,300.00"
83,181,8/10/2019,6,"$29,000.00","$24,400.00"
84,15,4/4/2019,1,"$65,000.00","$22,600.00"
85,95,8/13/2019,1,"$17,000.00","$21,700.00"
86,194,8/1/2019,15,"$19,000.00","$21,900.00"
87,155,5/11/2019,3,"$89,000.00","$15,300.00"
88,130,10/9/2019,10,"$95,000.00","$19,700.00"
89,138,12/29/2019,17,"$11,000.00","$22,700.00"
90,43,2/3/2019,11,"$67,000.00","$6,600.00"
91,75,4/20/2019,6,"$22,000.00","$5,800.00"
92,85,10/14/2019,14,"$75,000.00","$22,600.00"
93,9,12/14/2019,15,"$79,000.00","$24,800.00"
94,123,11/17/2019,3,"$29,000.00","$19,200.00"
95,117,2/28/2019,14,"$11,000.00","$21,100.00"
96,120,11/11/2019,22,"$53,000.00","$5,200.00"
97,179,7/30/2019,7,"$20,000.00","$19,700.00"
98,14,3/1/2019,13,"$64,000.00","$8,100.00"
99,67,12/15/2019,23,"$70,000.00","$14,600.00"
100,111,9/29/2019,7,"$59,000.00","$19,300.00"
101,187,10/31/2019,8,"$42,000.00","$11,300.00"
102,182,2/17/2019,12,"$32,000.00","$12,400.00"
103,120,5/2/2019,8,"$73,000.00","$22,200.00"
104,176,3/27/2019,18,"$21,000.00","$10,500.00"
105,15,1/31/2019,1,"$61,000.00","$20,200.00"
106,87,3/12/2019,14,"$38,000.00","$8,700.00"
107,121,7/29/2019,19,"$62,000.00","$23,300.00"
108,12,7/3/2019,6,"$99,000.00","$20,600.00"
109,90,11/27/2019,21,"$34,000.00","$8,600.00"
110,154,9/3/2019,3,"$81,000.00","$21,700.00"
111,180,6/25/2019,17,"$59,000.00","$6,000.00"
112,127,7/15/2019,5,"$68,000.00","$10,200.00"
113,54,2/11/2019,16,"$97,000.00","$11,100.00"
114,187,5/2/2019,9,"$96,000.00","$17,000.00"
115,25,9/30/2019,19,"$83,000.00","$19,900.00"
116,50,11/10/2019,14,"$88,000.00","$15,500.00"
117,123,8/10/2019,22,"$99,000.00","$6,000.00"
118,138,6/19/2019,21,"$97,000.00","$13,500.00"
119,115,12/16/2019,3,"$27,000.00","$7,100.00"
120,110,7/26/2019,9,"$25,000.00","$10,400.00"
121,178,6/16/2019,13,"$99,000.00","$9,800.00"
122,40,11/14/2019,20,"$49,000.00","$9,300.00"
123,58,12/11/2019,21,"$89,000.00","$8,200.00"
124,180,4/19/2019,10,"$59,000.00","$20,900.00"
125,77,12/18/2019,7,"$53,000.00","$18,700.00"
126,101,4/22/2019,24,"$71,000.00","$22,500.00"
127,116,11/16/2019,23,"$97,000.00","$22,600.00"
128,133,12/18/2019,7,"$85,000.00","$7,900.00"
129,160,9/2/2019,7,"$81,000.00","$20,300.00"
130,191,6/2/2019,9,"$58,000.00","$14,300.00"
131,133,1/29/2019,14,"$44,000.00","$21,600.00"
132,111,8/14/2019,1,"$93,000.00","$6,000.00"
133,116,7/29/2019,15,"$18,000.00","$13,000.00"
134,90,12/25/2019,10,"$28,000.00","$21,700.00"
135,192,12/1/2019,11,"$10,000.00","$21,400.00"
136,140,6/23/2019,3,"$76,000.00","$8,200.00"
137,165,9/17/2019,5,"$54,000.00","$6,200.00"
138,103,12/22/2019,14,"$70,000.00","$18,700.00"
139,9,6/12/2019,20,"$57,000.00","$20,600.00"
140,29,3/11/2019,17,"$52,000.00","$21,600.00"
141,16,8/10/2019,21,"$81,000.00","$6,900.00"
142,40,10/19/2019,1,"$25,000.00","$24,800.00"
143,45,5/1/2019,21,"$63,000.00","$14,500.00"
144,176,5/17/2019,8,"$17,000.00","$13,000.00"
145,15,7/2/2019,23,"$43,000.00","$10,200.00"
146,79,9/7/2019,21,"$74,000.00","$12,700.00"
147,153,8/1/2019,20,"$64,000.00","$6,000.00"
148,104,1/14/2019,22,"$70,000.00","$22,400.00"
149,40,8/11/2019,9,"$67,000.00","$11,900.00"
150,59,9/28/2019,10,"$86,000.00","$18,000.00"
151,33,4/4/2019,21,"$17,000.00","$22,100.00"
152,82,12/14/2019,19,"$90,000.00","$6,600.00"
153,62,10/28/2019,14,"$78,000.00","$7,900.00"
154,94,10/28/2019,6,"$28,000.00","$19,500.00"
155,192,8/1/2019,16,"$59,000.00","$14,100.00"
156,26,3/15/2019,14,"$82,000.00","$12,800.00"
157,125,9/30/2019,2,"$59,000.00","$11,900.00"
158,150,12/30/2019,10,"$65,000.00","$24,600.00"
159,148,12/5/2019,3,"$72,000.00","$22,700.00"
160,137,3/28/2019,15,"$100,000.00","$22,400.00"
161,196,1/12/2019,16,"$85,000.00","$8,000.00"
162,112,3/26/2019,8,"$29,000.00","$11,500.00"
163,167,11/14/2019,2,"$25,000.00","$9,900.00"
164,27,3/29/2019,11,"$61,000.00","$14,200.00"
165,138,1/24/2019,17,"$55,000.00","$12,500.00"
166,107,1/14/2019,10,"$83,000.00","$18,700.00"
167,67,6/1/2019,5,"$22,000.00","$15,300.00"
168,88,3/31/2019,12,"$47,000.00","$19,100.00"
169,126,12/30/2019,20,"$36,000.00","$12,000.00"
170,92,8/29/2019,3,"$94,000.00","$23,300.00"
171,139,4/21/2019,16,"$40,000.00","$5,100.00"
172,171,4/4/2019,9,"$69,000.00","$21,000.00"
173,191,12/9/2019,15,"$61,000.00","$14,400.00"
174,197,2/2/2019,12,"$14,000.00","$9,400.00"
175,30,12/25/2019,18,"$13,000.00","$14,400.00"
176,23,11/3/2019,12,"$94,000.00","$14,200.00"
177,110,7/25/2019,12,"$59,000.00","$22,500.00"
178,12,9/10/2019,8,"$35,000.00","$14,400.00"
179,71,9/17/2019,16,"$25,000.00","$22,100.00"
180,178,9/29/2019,20,"$80,000.00","$11,500.00"
181,78,7/31/2019,11,"$29,000.00","$11,600.00"
182,197,10/24/2019,15,"$80,000.00","$5,600.00"
183,146,7/15/2019,21,"$11,000.00","$20,000.00"
184,23,10/23/2019,15,"$45,000.00","$17,100.00"
185,123,5/12/2019,12,"$91,000.00","$20,800.00"
186,64,3/11/2019,1,"$57,000.00","$23,100.00"
187,86,12/13/2019,11,"$77,000.00","$18,500.00"
188,128,9/16/2019,15,"$29,000.00","$17,300.00"
189,101,9/29/2019,7,"$48,000.00","$5,300.00"
190,19,8/7/2019,7,"$43,000.00","$16,700.00"
191,134,4/19/2019,1,"$20,000.00","$8,500.00"
192,145,11/21/2019,18,"$57,000.00","$23,000.00"
193,175,6/15/2019,11,"$33,000.00","$13,500.00"
194,58,8/13/2019,7,"$48,000.00","$17,200.00"
195,128,12/3/2019,17,"$76,000.00","$11,700.00"
196,185,6/12/2019,16,"$28,000.00","$12,200.00"
197,74,9/27/2019,13,"$16,000.00","$21,000.00"
198,170,6/25/2019,5,"$62,000.00","$21,900.00"
199,167,6/14/2019,19,"$49,000.00","$5,600.00"
200,56,10/19/2019,22,"$45,000.00","$10,600.00"
201,200,1/28/2019,20,"$20,000.00","$5,000.00"
202,46,5/25/2019,13,"$46,000.00","$14,400.00"
203,178,8/23/2019,2,"$57,000.00","$6,800.00"
204,26,1/3/2019,19,"$36,000.00","$5,700.00"
205,198,4/27/2019,8,"$46,000.00","$9,500.00"
206,63,6/21/2019,24,"$61,000.00","$9,700.00"
207,73,5/15/2019,18,"$69,000.00","$7,600.00"
208,29,3/2/2019,7,"$66,000.00","$10,400.00"
209,109,2/2/2019,7,"$44,000.00","$23,600.00"
210,161,2/1/2019,20,"$34,000.00","$13,900.00"
211,16,6/15/2019,1,"$34,000.00","$14,200.00"
212,155,12/15/2019,16,"$70,000.00","$18,800.00"
213,162,4/7/2019,5,"$99,000.00","$23,500.00"
214,98,3/25/2019,7,"$26,000.00","$20,300.00"
215,43,1/17/2019,10,"$28,000.00","$14,600.00"
216,158,8/21/2019,18,"$31,000.00","$22,400.00"
217,58,1/23/2019,21,"$75,000.00","$10,300.00"
218,109,9/23/2019,12,"$13,000.00","$17,500.00"
219,114,2/1/2019,19,"$12,000.00","$19,900.00"
220,169,9/17/2019,20,"$30,000.00","$14,700.00"
221,128,8/6/2019,10,"$39,000.00","$24,000.00"
222,125,12/3/2019,15,"$73,000.00","$23,500.00"
223,154,8/21/2019,18,"$62,000.00","$15,500.00"
224,89,8/9/2019,2,"$75,000.00","$19,400.00"
225,101,7/2/2019,18,"$44,000.00","$21,700.00"
226,187,10/13/2019,1,"$77,000.00","$9,600.00"
227,87,2/2/2019,23,"$62,000.00","$19,500.00"
228,139,5/17/2019,15,"$22,000.00","$22,800.00"
229,110,9/20/2019,6,"$29,000.00","$12,700.00"
230,119,11/3/2019,9,"$94,000.00","$21,100.00"
231,175,5/23/2019,11,"$78,000.00","$6,500.00"
232,122,8/4/2019,12,"$66,000.00","$15,400.00"
233,32,10/26/2019,21,"$33,000.00","$20,400.00"
234,185,11/22/2019,15,"$44,000.00","$14,100.00"
235,171,7/23/2019,6,"$32,000.00","$25,000.00"
236,7,2/5/2019,12,"$10,000.00","$14,200.00"
237,157,9/13/2019,7,"$20,000.00","$14,100.00"
238,120,7/3/2019,5,"$81,000.00","$7,600.00"
239,46,11/18/2019,10,"$86,000.00","$14,800.00"
240,112,8/19/2019,10,"$58,000.00","$13,200.00"
241,121,7/9/2019,6,"$36,000.00","$6,800.00"
242,177,7/1/2019,15,"$24,000.00","$13,600.00"
243,134,5/11/2019,5,"$22,000.00","$10,300.00"
244,43,2/28/2019,3,"$63,000.00","$9,500.00"
245,25,12/2/2019,9,"$97,000.00","$24,900.00"
246,70,9/24/2019,3,"$57,000.00","$14,400.00"
247,168,1/5/2019,20,"$77,000.00","$12,900.00"
248,128,3/17/2019,1,"$19,000.00","$6,300.00"
249,77,4/22/2019,9,"$90,000.00","$9,400.00"
250,66,1/31/2019,14,"$68,000.00","$13,600.00"
251,121,12/14/2019,23,"$99,000.00","$18,000.00"
252,54,1/22/2019,17,"$99,000.00","$10,100.00"
253,38,12/5/2019,19,"$20,000.00","$15,300.00"
254,98,10/1/2019,20,"$16,000.00","$21,500.00"
255,145,10/2/2019,6,"$65,000.00","$23,600.00"
256,45,3/26/2019,17,"$11,000.00","$11,900.00"
257,96,7/2/2019,1,"$96,000.00","$23,200.00"
258,130,5/28/2019,12,"$36,000.00","$8,100.00"
259,104,4/14/2019,10,"$42,000.00","$5,500.00"
260,114,10/8/2019,23,"$95,000.00","$5,400.00"
261,59,9/30/2019,5,"$91,000.00","$18,900.00"
262,78,11/5/2019,19,"$23,000.00","$7,100.00"
263,161,8/3/2019,16,"$34,000.00","$12,000.00"
264,82,2/11/2019,10,"$15,000.00","$19,500.00"
265,92,12/19/2019,10,"$29,000.00","$20,600.00"
266,184,1/11/2019,13,"$69,000.00","$14,300.00"
267,68,11/20/2019,24,"$32,000.00","$14,500.00"
268,7,2/24/2019,13,"$33,000.00","$17,600.00"
269,43,4/5/2019,16,"$64,000.00","$6,600.00"
270,93,6/7/2019,20,"$63,000.00","$24,600.00"
271,188,11/3/2019,10,"$13,000.00","$23,300.00"
272,199,2/14/2019,5,"$17,000.00","$17,400.00"
273,42,3/5/2019,6,"$34,000.00","$23,200.00"
274,84,3/14/2019,18,"$35,000.00","$17,800.00"
275,111,12/3/2019,18,"$22,000.00","$21,300.00"
276,126,3/12/2019,22,"$56,000.00","$14,300.00"
277,35,8/13/2019,17,"$40,000.00","$16,700.00"
278,107,4/21/2019,1,"$94,000.00","$17,400.00"
279,33,2/27/2019,19,"$43,000.00","$24,900.00"
280,110,11/7/2019,10,"$92,000.00","$15,500.00"
281,33,8/1/2019,16,"$38,000.00","$21,500.00"
282,89,7/15/2019,23,"$34,000.00","$20,600.00"
283,178,1/14/2019,4,"$97,000.00","$12,700.00"
284,200,12/28/2019,17,"$78,000.00","$17,600.00"
285,194,6/14/2019,7,"$16,000.00","$22,000.00"
286,161,8/4/2019,21,"$89,000.00","$22,700.00"
287,171,11/13/2019,11,"$55,000.00","$22,200.00"
288,190,2/19/2019,10,"$20,000.00","$14,700.00"
289,25,10/25/2019,20,"$53,000.00","$18,300.00"
290,58,8/30/2019,4,"$64,000.00","$10,800.00"
291,195,11/30/2019,6,"$69,000.00","$12,500.00"
292,182,8/27/2019,5,"$35,000.00","$5,500.00"
293,10,10/18/2019,2,"$47,000.00","$17,300.00"
294,137,8/30/2019,10,"$38,000.00","$21,900.00"
295,156,8/4/2019,10,"$65,000.00","$10,400.00"
296,127,8/13/2019,8,"$68,000.00","$18,800.00"
297,174,5/21/2019,11,"$95,000.00","$23,200.00"
298,114,5/9/2019,2,"$15,000.00","$13,000.00"
299,74,3/27/2019,17,"$67,000.00","$7,000.00"
300,54,8/10/2019,2,"$13,000.00","$11,800.00"
301,66,12/9/2019,1,"$14,000.00","$15,700.00"
302,84,10/31/2019,3,"$41,000.00","$10,300.00"
303,10,12/9/2019,17,"$97,000.00","$6,300.00"
304,188,1/19/2019,20,"$34,000.00","$12,800.00"
305,147,3/11/2019,12,"$60,000.00","$20,900.00"
306,112,3/17/2019,24,"$20,000.00","$10,600.00"
307,42,2/27/2019,17,"$19,000.00","$19,100.00"
308,2,3/28/2019,24,"$14,000.00","$6,900.00"
309,21,12/9/2019,1,"$44,000.00","$22,700.00"
310,138,11/7/2019,19,"$48,000.00","$15,400.00"
311,100,1/17/2019,4,"$90,000.00","$16,700.00"
312,176,11/20/2019,23,"$48,000.00","$20,700.00"
313,182,8/5/2019,21,"$80,000.00","$10,400.00"
314,21,11/6/2019,18,"$95,000.00","$10,600.00"
315,162,10/29/2019,2,"$82,000.00","$6,100.00"
316,66,7/21/2019,14,"$43,000.00","$23,500.00"
317,19,4/14/2019,12,"$36,000.00","$20,100.00"
318,36,11/27/2019,5,"$98,000.00","$18,800.00"
319,106,4/21/2019,18,"$71,000.00","$13,500.00"
320,141,2/6/2019,20,"$69,000.00","$12,400.00"
321,143,1/23/2019,1,"$15,000.00","$5,900.00"
322,104,5/12/2019,3,"$24,000.00","$15,000.00"
323,82,5/25/2019,4,"$40,000.00","$16,400.00"
324,18,11/28/2019,5,"$70,000.00","$14,700.00"
325,26,4/20/2019,15,"$24,000.00","$5,000.00"
326,137,9/12/2019,17,"$95,000.00","$18,300.00"
327,10,12/17/2019,15,"$60,000.00","$12,300.00"
328,118,2/23/2019,21,"$19,000.00","$7,700.00"
329,10,8/2/2019,8,"$95,000.00","$21,600.00"
330,47,3/15/2019,21,"$73,000.00","$21,100.00"
331,173,2/10/2019,2,"$45,000.00","$24,000.00"
332,190,10/6/2019,15,"$41,000.00","$22,300.00"
333,31,7/29/2019,10,"$75,000.00","$6,900.00"
334,170,5/10/2019,5,"$92,000.00","$14,400.00"
335,72,7/17/2019,22,"$24,000.00","$11,200.00"
336,130,12/6/2019,4,"$21,000.00","$14,500.00"
337,102,10/8/2019,11,"$47,000.00","$20,700.00"
338,76,5/21/2019,4,"$94,000.00","$16,100.00"
339,57,9/29/2019,24,"$66,000.00","$7,000.00"
340,44,4/10/2019,2,"$55,000.00","$8,200.00"
341,97,5/18/2019,9,"$59,000.00","$9,200.00"
342,78,10/19/2019,16,"$54,000.00","$10,400.00"
343,130,6/7/2019,10,"$87,000.00","$20,500.00"
344,91,10/29/2019,12,"$34,000.00","$7,200.00"
345,56,1/20/2019,4,"$58,000.00","$14,900.00"
346,174,3/15/2019,2,"$61,000.00","$14,900.00"
347,16,10/5/2019,16,"$24,000.00","$7,300.00"
348,130,8/30/2019,21,"$90,000.00","$19,300.00"
349,6,5/16/2019,10,"$28,000.00","$11,900.00"
350,92,7/31/2019,20,"$45,000.00","$10,000.00"
351,142,1/24/2019,7,"$77,000.00","$24,000.00"
352,70,3/24/2019,1,"$37,000.00","$17,900.00"
353,92,3/19/2019,22,"$98,000.00","$10,400.00"
354,129,10/3/2019,12,"$59,000.00","$17,900.00"
355,24,3/19/2019,14,"$50,000.00","$5,800.00"
356,35,3/23/2019,11,"$59,000.00","$8,000.00"
357,85,2/8/2019,9,"$59,000.00","$18,200.00"
358,1,6/18/2019,13,"$74,000.00","$19,000.00"
359,141,5/5/2019,9,"$27,000.00","$21,000.00"
360,101,10/7/2019,10,"$86,000.00","$22,400.00"
361,3,8/11/2019,1,"$49,000.00","$17,900.00"
362,125,4/18/2019,9,"$44,000.00","$23,300.00"
363,158,12/29/2019,22,"$70,000.00","$18,500.00"
364,183,12/21/2019,24,"$89,000.00","$18,600.00"
365,61,5/2/2019,24,"$67,000.00","$6,500.00"
366,192,6/9/2019,2,"$48,000.00","$7,000.00"
367,26,4/18/2019,21,"$95,000.00","$12,600.00"
368,95,1/23/2019,11,"$35,000.00","$19,100.00"
369,30,6/2/2019,12,"$71,000.00","$22,700.00"
370,139,9/27/2019,24,"$83,000.00","$5,100.00"
371,66,4/19/2019,16,"$71,000.00","$14,500.00"
372,106,5/25/2019,22,"$51,000.00","$21,200.00"
373,183,3/10/2019,4,"$84,000.00","$23,800.00"
374,88,5/1/2019,1,"$32,000.00","$7,000.00"
375,93,3/16/2019,1,"$39,000.00","$8,000.00"
376,7,1/8/2019,13,"$43,000.00","$20,300.00"
377,75,10/18/2019,18,"$89,000.00","$15,600.00"
378,4,12/10/2019,24,"$46,000.00","$15,700.00"
379,26,7/11/2019,7,"$75,000.00","$12,300.00"
380,193,1/22/2019,4,"$25,000.00","$19,300.00"
381,104,2/28/2019,10,"$10,000.00","$10,700.00"
382,75,8/6/2019,11,"$14,000.00","$15,100.00"
383,137,8/5/2019,20,"$26,000.00","$15,900.00"
384,126,7/30/2019,3,"$74,000.00","$18,900.00"
385,73,12/27/2019,19,"$35,000.00","$9,900.00"
386,112,8/19/2019,15,"$76,000.00","$5,500.00"
387,35,8/4/2019,8,"$12,000.00","$13,800.00"
388,129,5/9/2019,1,"$59,000.00","$8,200.00"
389,113,9/27/2019,24,"$56,000.00","$19,400.00"
390,168,5/11/2019,23,"$83,000.00","$22,000.00"
391,126,7/8/2019,2,"$62,000.00","$15,100.00"
392,90,1/1/2019,20,"$67,000.00","$7,700.00"
393,55,6/3/2019,1,"$60,000.00","$22,400.00"
394,73,9/3/2019,14,"$55,000.00","$12,700.00"
395,148,1/4/2019,7,"$53,000.00","$19,400.00"
396,44,7/30/2019,13,"$81,000.00","$17,800.00"
397,94,9/29/2019,6,"$68,000.00","$12,100.00"
398,10,9/26/2019,22,"$38,000.00","$18,700.00"
399,179,9/10/2019,23,"$98,000.00","$15,700.00"
400,1,8/11/2019,19,"$38,000.00","$8,800.00"
401,131,4/6/2019,7,"$11,000.00","$17,800.00"
402,25,4/11/2019,19,"$72,000.00","$6,100.00"
403,142,4/4/2019,15,"$24,000.00","$17,500.00"
404,179,1/22/2019,2,"$87,000.00","$12,700.00"
405,45,12/20/2019,15,"$79,000.00","$16,200.00"
406,37,1/16/2019,15,"$22,000.00","$24,500.00"
407,108,3/4/2019,5,"$52,000.00","$6,300.00"
408,169,4/19/2019,24,"$62,000.00","$24,500.00"
409,31,4/30/2019,11,"$83,000.00","$20,300.00"
410,38,7/26/2019,23,"$93,000.00","$9,100.00"
411,168,1/6/2019,5,"$13,000.00","$13,300.00"
412,186,12/28/2019,7,"$65,000.00","$16,000.00"
413,137,5/10/2019,3,"$72,000.00","$21,000.00"
414,95,4/19/2019,19,"$17,000.00","$6,200.00"
415,176,1/18/2019,11,"$37,000.00","$23,900.00"
416,2,12/25/2019,18,"$63,000.00","$8,900.00"
417,164,9/5/2019,7,"$75,000.00","$13,400.00"
418,187,2/14/2019,10,"$99,000.00","$6,800.00"
419,140,3/20/2019,20,"$32,000.00","$11,900.00"
420,83,4/15/2019,1,"$71,000.00","$12,000.00"
421,191,6/1/2019,17,"$13,000.00","$17,200.00"
422,39,6/26/2019,16,"$19,000.00","$23,700.00"
423,34,4/12/2019,8,"$27,000.00","$16,900.00"
424,1,3/13/2019,15,"$77,000.00","$14,300.00"
425,29,1/26/2019,10,"$67,000.00","$18,200.00"
426,177,3/20/2019,23,"$54,000.00","$9,800.00"
427,155,6/5/2019,9,"$94,000.00","$17,600.00"
428,90,7/3/2019,19,"$61,000.00","$5,100.00"
429,191,7/3/2019,13,"$31,000.00","$5,900.00"
430,10,1/22/2019,2,"$96,000.00","$14,300.00"
431,43,5/7/2019,16,"$68,000.00","$7,200.00"
432,106,2/23/2019,21,"$61,000.00","$12,600.00"
433,148,4/5/2019,21,"$74,000.00","$10,200.00"
434,97,10/4/2019,15,"$15,000.00","$11,100.00"
435,28,3/5/2019,6,"$86,000.00","$18,700.00"
436,164,1/11/2019,6,"$40,000.00","$23,100.00"
437,100,1/22/2019,8,"$88,000.00","$7,000.00"
438,1,10/16/2019,22,"$39,000.00","$20,000.00"
439,123,1/29/2019,14,"$78,000.00","$8,300.00"
440,6,6/5/2019,22,"$84,000.00","$22,600.00"
441,66,2/19/2019,2,"$66,000.00","$12,900.00"
442,34,4/30/2019,14,"$64,000.00","$19,300.00"
443,41,3/14/2019,17,"$74,000.00","$23,300.00"
444,176,1/4/2019,12,"$35,000.00","$5,300.00"
445,17,5/23/2019,8,"$75,000.00","$21,200.00"
446,142,12/6/2019,22,"$24,000.00","$10,100.00"
447,56,5/14/2019,12,"$65,000.00","$25,000.00"
448,77,10/27/2019,1,"$62,000.00","$16,400.00"
449,180,5/9/2019,14,"$45,000.00","$16,600.00"
450,9,3/17/2019,15,"$17,000.00","$23,600.00"
451,21,11/7/2019,23,"$79,000.00","$8,600.00"
452,55,9/23/2019,14,"$81,000.00","$16,100.00"
453,110,5/12/2019,6,"$70,000.00","$11,700.00"
454,185,2/20/2019,21,"$30,000.00","$5,400.00"
455,47,11/13/2019,2,"$24,000.00","$24,700.00"
456,163,10/7/2019,11,"$51,000.00","$5,000.00"
457,161,8/7/2019,11,"$23,000.00","$9,600.00"
458,186,12/2/2019,2,"$90,000.00","$13,200.00"
459,94,9/2/2019,12,"$88,000.00","$10,700.00"
460,157,10/14/2019,17,"$71,000.00","$21,300.00"
461,113,3/29/2019,3,"$50,000.00","$12,600.00"
462,18,9/1/2019,12,"$94,000.00","$15,900.00"
463,115,11/27/2019,15,"$72,000.00","$23,800.00"
464,142,12/17/2019,14,"$90,000.00","$8,400.00"
465,163,7/13/2019,15,"$14,000.00","$17,100.00"
466,28,5/6/2019,23,"$54,000.00","$15,300.00"
467,67,3/15/2019,2,"$24,000.00","$14,800.00"
468,86,8/25/2019,12,"$95,000.00","$20,500.00"
469,156,1/8/2019,3,"$43,000.00","$21,300.00"
470,103,5/4/2019,3,"$56,000.00","$7,400.00"
471,95,3/20/2019,6,"$27,000.00","$19,300.00"
472,141,3/3/2019,5,"$35,000.00","$12,700.00"
473,53,5/10/2019,1,"$22,000.00","$8,100.00"
474,118,3/8/2019,13,"$59,000.00","$17,700.00"
475,167,12/21/2019,21,"$96,000.00","$9,900.00"
476,77,10/3/2019,17,"$31,000.00","$16,300.00"
477,43,10/16/2019,23,"$39,000.00","$22,600.00"
478,103,4/4/2019,8,"$82,000.00","$11,400.00"
479,36,8/12/2019,10,"$63,000.00","$15,100.00"
480,104,7/20/2019,16,"$12,000.00","$23,400.00"
